sentence,event1,event2,signal,Doc name,Doc ID 
"In addition, the company's board authorized the purchase of up to an additional one million shares. ",purchase,authorized,authorize,wsj_0520.tml, WSJ891030-0181 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",moves,said,allow,wsj_0376.tml, WSJ891031-0138 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",moves,focus,allow,wsj_0376.tml, WSJ891031-0138 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",moves,allow,allow,wsj_0376.tml, WSJ891031-0138 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",said,focus,allow,wsj_0376.tml, WSJ891031-0138 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",said,allow,allow,wsj_0376.tml, WSJ891031-0138 
"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    ",focus,allow,allow,wsj_0376.tml, WSJ891031-0138 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,meet,qualify,wsj_0527.tml, WSJ891030-0174 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,qualify,qualify,wsj_0527.tml, WSJ891030-0174 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,said,qualify,wsj_0527.tml, WSJ891030-0174 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,criteria,qualify,wsj_0527.tml, WSJ891030-0174 
