sentence,event1,event2,signal,Doc name,Doc ID 
"The Los Angeles thrift holding company said it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30. ",had,said,hold,wsj_0325.tml, WSJ891101-0039 
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. ,enhance,under,hold,wsj_0376.tml, WSJ891031-0138 
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. ,enhance,surfaced,hold,wsj_0376.tml, WSJ891031-0138 
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. ,under,surfaced,hold,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",happy,moving,keep,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",happy,sold,keep,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",happy,keep,keep,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",moving,sold,keep,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",moving,keep,keep,wsj_0376.tml, WSJ891031-0138 
"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ",sold,keep,keep,wsj_0376.tml, WSJ891031-0138 
Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. ,restructuring,said,hold,wsj_0313.tml, WSJ891101-0051 
Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. ,restructuring,hold,hold,wsj_0313.tml, WSJ891101-0051 
Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. ,said,hold,hold,wsj_0313.tml, WSJ891101-0051 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,offered,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,transition,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,settlement,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,said,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,exodus,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",avert,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",offered,transition,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",offered,settlement,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",offered,said,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",offered,exodus,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",offered,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",transition,settlement,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",transition,said,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",transition,exodus,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",transition,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",settlement,said,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",settlement,exodus,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",settlement,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",said,exodus,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",said,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",exodus,expected,avert,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",said,holding,hold,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",said,expected,hold,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",said,subscribe,hold,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",holding,expected,hold,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",holding,subscribe,hold,wsj_0187.tml, WSJ891102-0003 
"Customers holding contracts for Waertsilae Marine's undelivered ships  are expected  to subscribe most of the remaining 170 million markkaa in share capital, government officials said.    ",expected,subscribe,hold,wsj_0187.tml, WSJ891102-0003 
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.    ,said,protect,protect,wsj_0356.tml, WSJ891101-0008 
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.    ,said,adopted,protect,wsj_0356.tml, WSJ891101-0008 
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.    ,protect,adopted,protect,wsj_0356.tml, WSJ891101-0008 
"Cilcorp Inc., Peoria, Ill., said it agreed  to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport, Conn.    The utility holding company said Hunter  will receive 390,000 shares of a new series of Cilcorp convertible preferred stock with a face value of $39 million for the businesses. ",said,acquire,hold,wsj_0346.tml, WSJ891101-0018 
"Cilcorp Inc., Peoria, Ill., said it agreed  to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport, Conn.    The utility holding company said Hunter  will receive 390,000 shares of a new series of Cilcorp convertible preferred stock with a face value of $39 million for the businesses. ",said,receive,hold,wsj_0346.tml, WSJ891101-0018 
"Cilcorp Inc., Peoria, Ill., said it agreed  to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport, Conn.    The utility holding company said Hunter  will receive 390,000 shares of a new series of Cilcorp convertible preferred stock with a face value of $39 million for the businesses. ",said,agreed,hold,wsj_0346.tml, WSJ891101-0018 
"Cilcorp Inc., Peoria, Ill., said it agreed  to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport, Conn.    The utility holding company said Hunter  will receive 390,000 shares of a new series of Cilcorp convertible preferred stock with a face value of $39 million for the businesses. ",acquire,receive,hold,wsj_0346.tml, WSJ891101-0018 
