sentence,event1,event2,signal,Doc name,Doc ID 
challenge,reported,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
challenge,said,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
challenge,filed,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
reported,said,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
reported,filed,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
said,filed,charge,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
ended,served,end,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
ended,go,end,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
served,go,end,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
traveled,helped,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
traveled,conducted,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
traveled,said,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,conducted,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,said,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,said,support,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
fighting,said,end,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"One year after end of fighting in Gaza, Livni said that the Israeli blockade of Gaza would stay in place."""
writes,host,prepare,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
writes,prepares,prepare,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
host,prepares,prepare,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
develop,trained,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
develop,build,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
develop,worked,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
trained,build,design,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
