,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
0,made,e9,dropped,e10,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
1,speak,e12,said,e15,because,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
2,speak,e12,speak,e13,because,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
3,said,e15,speak,e13,because,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
4,ended,e17,served,e16,as,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
5,ended,e17,served,e16,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
6,go,e20,needed,e23,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
7,go,e20,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
8,go,e20,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
9,needed,e23,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
10,needed,e23,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
11,saying,e22,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
12,made,e27,said,e30,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
13,made,e27,give,e28,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
14,said,e30,give,e28,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
15,helped,e36,conducted,e34,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
16,helped,e36,said,e33,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
17,helped,e36,traveled,e37,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
18,conducted,e34,said,e33,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
19,conducted,e34,traveled,e37,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
20,said,e33,traveled,e37,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
21,issued,e56,allow,e55,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,British legal rules allow arrest warrants to be issued by a court independent of ministerial approval.
22,take,e6,asked,e5,as,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
23,take,e6,asked,e5,since,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
24,take,e6,asked,e5,as,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
25,take,e6,asked,e5,have,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I've been asked a lot of questions since the announcement that I will take over as anchor of CNN's "" State of the Union. """
26,knew,e13,loved,e11,by,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"I did it like millions and millions of other parents who play the minute-by-minute juggling act : not perfectly, but I loved them above all else and did the best I knew how."
27,thinks,e34,come,e36,so,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
28,thinks,e34,pull,e35,so,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
29,pull,e35,come,e36,so,1,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home."
30,killed,e2,helped,e4,from,1,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
31,killed,e2,rebuild,e5,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
32,killed,e2,centered,e1,from,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild."
