,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
0,made,e9,dropped,e10,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
1,go,e20,needed,e23,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
2,go,e20,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
3,go,e20,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
4,needed,e23,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
5,needed,e23,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
6,saying,e22,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
7,go,e20,needed,e23,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
8,go,e20,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
9,go,e20,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
10,needed,e23,saying,e22,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
11,needed,e23,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
12,saying,e22,defended,e19,by,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
13,made,e27,said,e30,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
14,made,e27,give,e28,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
15,said,e30,give,e28,make,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
16,helped,e36,conducted,e34,have,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
