,w,eid1,event2,eid2,signal,annotation ,Doc name,Doc ID,sentence,annotation
0,note,e2,recognized,e3,as,0,wsj_0266.tml,WSJ891101-0099,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century.,
1,note,e2,pleased,e41,as,0,wsj_0266.tml,WSJ891101-0099,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century.,
2,recognized,e3,pleased,e41,as,0,wsj_0266.tml,WSJ891101-0099,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century.,
3,creation,e5,listed,e4,as,0,wsj_0266.tml,WSJ891101-0099,"Actually, about two years ago, the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century. ",
4,raised,e1,outbid,e7,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
5,raised,e1,said,e3,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
6,raised,e1,offer,e8,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
7,outbid,e7,said,e3,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
8,outbid,e7,offer,e8,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
9,said,e3,offer,e8,from,0,wsj_0169.tml,WSJ891102-0021,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. ",
10,completion,e18,sweetened,e91,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
11,completion,e18,acceptances,e16,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
12,completion,e18,offer,e14,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
13,completion,e18,scheduled,e17,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
14,completion,e18,has,e15,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
15,sweetened,e91,acceptances,e16,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
16,sweetened,e91,offer,e14,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
17,sweetened,e91,scheduled,e17,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
18,sweetened,e91,has,e15,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
19,acceptances,e16,offer,e14,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
20,acceptances,e16,scheduled,e17,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
21,acceptances,e16,has,e15,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
22,offer,e14,scheduled,e17,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
23,offer,e14,has,e15,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
24,scheduled,e17,has,e15,from,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
25,completion,e18,sweetened,e91,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
26,completion,e18,acceptances,e16,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
27,completion,e18,offer,e14,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
28,completion,e18,scheduled,e17,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
29,completion,e18,has,e15,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
30,sweetened,e91,acceptances,e16,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
31,sweetened,e91,offer,e14,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
32,sweetened,e91,scheduled,e17,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
33,sweetened,e91,has,e15,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
34,acceptances,e16,offer,e14,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
35,acceptances,e16,scheduled,e17,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
36,acceptances,e16,has,e15,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
37,offer,e14,scheduled,e17,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
38,offer,e14,has,e15,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
39,scheduled,e17,has,e15,by,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
40,completion,e18,sweetened,e91,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
41,completion,e18,acceptances,e16,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
42,completion,e18,offer,e14,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
43,completion,e18,scheduled,e17,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
44,completion,e18,has,e15,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
45,sweetened,e91,acceptances,e16,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
46,sweetened,e91,offer,e14,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
47,sweetened,e91,scheduled,e17,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
48,sweetened,e91,has,e15,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
49,acceptances,e16,offer,e14,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
50,acceptances,e16,scheduled,e17,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
51,acceptances,e16,has,e15,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
52,offer,e14,scheduled,e17,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
53,offer,e14,has,e15,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
54,scheduled,e17,has,e15,have,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",
55,said,e4,magnified,e10,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
56,said,e4,loss,e6,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
57,said,e4,loss,e9,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
58,magnified,e10,loss,e6,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
59,magnified,e10,loss,e9,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
60,loss,e6,loss,e9,as,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
61,said,e4,magnified,e10,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
62,said,e4,loss,e6,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
63,said,e4,loss,e9,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
64,magnified,e10,loss,e6,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
65,magnified,e10,loss,e9,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
66,loss,e6,loss,e9,by,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
67,said,e4,magnified,e10,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
68,said,e4,loss,e6,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
69,said,e4,loss,e9,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
70,magnified,e10,loss,e6,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
71,magnified,e10,loss,e9,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
72,loss,e6,loss,e9,have,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" ",
73,sale,e19,offset,e18,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
74,sale,e19,said,e23,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
75,sale,e19,gain,e40,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
76,offset,e18,said,e23,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
77,offset,e18,gain,e40,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
78,said,e23,gain,e40,by,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    ",
