event1,eid1,event2,eid2,signal,Doc name,Doc ID ,sentence
said,e4,had,e38,hold,wsj_0325.tml, WSJ891101-0039 ,"The Los Angeles thrift holding company said it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30. "
enhance,e54,surfaced,e55,hold,wsj_0376.tml, WSJ891031-0138 ,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. 
enhance,e54,under,e119,hold,wsj_0376.tml, WSJ891031-0138 ,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. 
surfaced,e55,under,e119,hold,wsj_0376.tml, WSJ891031-0138 ,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year. 
keep,e62,moving,e60,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
keep,e62,happy,e110,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
keep,e62,sold,e58,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
moving,e60,happy,e110,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
moving,e60,sold,e58,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
happy,e110,sold,e58,keep,wsj_0376.tml, WSJ891031-0138 ,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
hold,e34,restructuring,e60,hold,wsj_0313.tml, WSJ891101-0051 ,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. 
hold,e34,said,e33,hold,wsj_0313.tml, WSJ891101-0051 ,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. 
restructuring,e60,said,e33,hold,wsj_0313.tml, WSJ891101-0051 ,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring. 
settlement,e44,offered,e13,avert,wsj_0187.tml, WSJ891102-0003 ,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
