event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
completion,e18,sweetened,e91,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
completion,e18,acceptances,e16,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
completion,e18,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
completion,e18,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
completion,e18,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
sweetened,e91,acceptances,e16,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
sweetened,e91,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
sweetened,e91,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
sweetened,e91,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
acceptances,e16,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
acceptances,e16,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
acceptances,e16,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
offer,e14,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
offer,e14,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
scheduled,e17,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
said,e4,magnified,e10,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
said,e4,loss,e6,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
