event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
filed,e4,said,e1,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
filed,e4,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
said,e1,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
ended,e17,served,e16,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
helped,e36,conducted,e34,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,e34,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,e34,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
said,e33,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
said,e49,fighting,e48,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"One year after end of fighting in Gaza, Livni said that the Israeli blockade of Gaza would stay in place."""
host,e2,prepares,e1,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
host,e2,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
prepares,e1,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
