,event1,eid1,event2,eid2,signal,annotation ,Doc name,Doc ID,sentence
0,purchased,e59,approved,e56,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
1,purchased,e59,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
2,approved,e56,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
3,purchased,e59,approved,e56,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
4,purchased,e59,program,e107,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
5,approved,e56,program,e107,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
6,said,e17,fixed,e18,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
7,said,e17,set,e20,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
8,fixed,e18,set,e20,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
9,said,e17,fixed,e18,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
10,said,e17,set,e20,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
11,fixed,e18,set,e20,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
12,suspension,e82,meet,e6,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
13,suspension,e82,recommended,e4,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
14,suspension,e82,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
15,suspension,e82,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
16,meet,e6,recommended,e4,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
17,meet,e6,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
18,meet,e6,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
19,recommended,e4,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
20,recommended,e4,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
21,plummeted,e1,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
22,requirements,e16,meet,e18,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
23,requirements,e16,said,e12,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
24,requirements,e16,qualify,e13,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
25,requirements,e16,criteria,e20,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
26,meet,e18,said,e12,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
27,meet,e18,qualify,e13,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
28,meet,e18,criteria,e20,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
29,said,e12,qualify,e13,because,0,wsj_0527.tml,WSJ891030-0174,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
