,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
0,filed,e4,said,e1,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
1,filed,e4,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
2,said,e1,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
3,ended,e17,served,e16,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
4,helped,e36,conducted,e34,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
5,helped,e36,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
6,helped,e36,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
7,conducted,e34,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
8,conducted,e34,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
9,said,e33,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
10,said,e49,fighting,e48,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"One year after end of fighting in Gaza, Livni said that the Israeli blockade of Gaza would stay in place."""
11,host,e2,prepares,e1,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
12,host,e2,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
13,prepares,e1,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
14,build,e10,trained,e9,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
15,build,e10,develop,e7,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
16,build,e10,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
17,trained,e9,develop,e7,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
18,trained,e9,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
19,develop,e7,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
20,turn,e40,need,e39,point,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
21,afford,e48,working,e44,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
22,lost,e84,dissipated,e83,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
23,needed,e120,falls,e121,point,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The funding for short-term relief is good and is needed, but very often at the point of about a year, that funding just falls off a cliff."
24,told,e51,started,e54,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
25,told,e51,wanted,e52,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
26,told,e51,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
27,started,e54,wanted,e52,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
28,started,e54,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
29,wanted,e52,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
30,want,e68,said,e71,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I want to tell the story so that in the near future, other girls do n't go through the same, "" Maria said."""
31,using,e34,magnified,e31,ideal,0,2010.01.08.facebook.bra.color.tml,2010.01.08.facebook.bra.color,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """
32,tried,e50,falling,e52,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
33,tried,e50,blocked,e53,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
34,falling,e52,blocked,e53,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
35,said,e104,prepared,e105,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
36,said,e104,sent,e106,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
37,prepared,e105,sent,e106,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
38,growing,e17,decide,e19,decide,0,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
39,growing,e17,decide,e19,demand,0,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
40,reported,e11,delivering,e9,aim,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"By mass producing and delivering these modern arms, Iran's department of defense aims to increase its ground and air defenses, the semi-official Fars news agency reported."
41,coincided,e12,toppled,e14,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
42,coincided,e12,marking,e13,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
43,toppled,e14,marking,e13,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
44,suspects,e26,says,e29,try,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The West suspects Iran of trying to build nuclear bombs, but Iran says its program is for peaceful power generation."
45,said,e30,build,e36,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
46,said,e30,plans,e34,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
47,said,e30,use,e35,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
48,said,e30,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
49,said,e30,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
50,build,e36,plans,e34,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
51,use,e35,build,e36,plan,1,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
52,build,e36,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
53,build,e36,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
54,plans,e34,use,e35,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
55,plans,e34,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
56,plans,e34,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
57,use,e35,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
58,use,e35,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
59,reached,e32,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
60,said,e30,build,e36,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
61,said,e30,plans,e34,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
62,said,e30,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
63,said,e30,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
64,said,e30,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
65,build,e36,plans,e34,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
66,build,e36,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
67,build,e36,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
68,build,e36,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
69,plans,e34,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
70,plans,e34,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
71,plans,e34,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
72,use,e35,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
