,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
0,completion,e18,sweetened,e91,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
1,completion,e18,acceptances,e16,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
2,completion,e18,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
3,completion,e18,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
4,completion,e18,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
5,sweetened,e91,acceptances,e16,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
6,sweetened,e91,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
7,sweetened,e91,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
8,sweetened,e91,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
9,acceptances,e16,offer,e14,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
10,acceptances,e16,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
11,acceptances,e16,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
12,offer,e14,scheduled,e17,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
13,offer,e14,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
14,scheduled,e17,has,e15,schedule,0,wsj_0169.tml,WSJ891102-0021,"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    "
15,said,e4,magnified,e10,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
16,said,e4,loss,e6,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
17,said,e4,loss,e9,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
18,magnified,e10,loss,e6,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
19,magnified,e10,loss,e9,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
20,loss,e6,loss,e9,charge,0,wsj_0160.tml,WSJ891102-0031,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."" "
21,sale,e19,offset,e18,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
22,sale,e19,said,e23,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
23,sale,e19,gain,e40,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
24,offset,e18,said,e23,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
25,offset,e18,gain,e40,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
26,said,e23,gain,e40,charge,0,wsj_0160.tml,WSJ891102-0031,"The charges were partly offset by a $2 million gain on the sale of investments of two joint ventures, he said.    "
27,cited,e25,softening,e137,demand,0,wsj_0160.tml,WSJ891102-0031,"Savin cited ""a general softening in the demand for office products in the market segments in which Savin competes."" "
28,said,e4,had,e38,end,0,wsj_0325.tml,WSJ891101-0039,"The Los Angeles thrift holding company said it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30. "
29,designed,e10,ratio,e43,design,0,wsj_0325.tml,WSJ891101-0039,The restructuring program  is designed  to increase the company's tangible capital ratio.
30,designed,e10,increase,e11,design,0,wsj_0325.tml,WSJ891101-0039,The restructuring program  is designed  to increase the company's tangible capital ratio.
