,event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
0,said,e4,had,e38,hold,0,wsj_0325.tml,WSJ891101-0039,"The Los Angeles thrift holding company said it had a loss of $92.2 million, or $6.98 a share, for the quarter ended Sept. 30. "
1,enhance,e54,surfaced,e55,hold,0,wsj_0376.tml,WSJ891031-0138,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.
2,enhance,e54,under,e119,hold,0,wsj_0376.tml,WSJ891031-0138,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.
3,surfaced,e55,under,e119,hold,0,wsj_0376.tml,WSJ891031-0138,Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.
4,keep,e62,moving,e60,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
5,keep,e62,happy,e110,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
6,keep,e62,sold,e58,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
7,moving,e60,happy,e110,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
8,moving,e60,sold,e58,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
9,happy,e110,sold,e58,keep,0,wsj_0376.tml,WSJ891031-0138,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. "
10,hold,e34,restructuring,e60,hold,0,wsj_0313.tml,WSJ891101-0051,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring.
11,hold,e34,said,e33,hold,0,wsj_0313.tml,WSJ891101-0051,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring.
12,restructuring,e60,said,e33,hold,0,wsj_0313.tml,WSJ891101-0051,Ocean Drilling said it wo n't hold any shares of the new company after the restructuring.
13,settlement,e44,offered,e13,avert,0,wsj_0187.tml,WSJ891102-0003,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
14,settlement,e44,expected,e14,avert,0,wsj_0187.tml,WSJ891102-0003,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
15,settlement,e44,said,e16,avert,0,wsj_0187.tml,WSJ891102-0003,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
16,settlement,e44,transition,e45,avert,0,wsj_0187.tml,WSJ891102-0003,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
