event1,eid1,event2,eid2,signal,Doc name,Doc ID ,sentence
note,e2,recognized,e3,as ,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
note,e2,pleased,e41,as ,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
recognized,e3,pleased,e41,as ,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
note,e2,recognized,e3,as,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
note,e2,pleased,e41,as,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
recognized,e3,pleased,e41,as,wsj_0266.tml, WSJ891101-0099 ,I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century. 
creation,e5,listed,e4,as ,wsj_0266.tml, WSJ891101-0099 ,"Actually, about two years ago, the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century. "
creation,e5,listed,e4,as,wsj_0266.tml, WSJ891101-0099 ,"Actually, about two years ago, the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century. "
raised,e1,,e33,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
raised,e1,outbid,e7,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
raised,e1,said,e3,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
raised,e1,offer,e8,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
raised,e1,,e32,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
,e33,outbid,e7,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
,e33,said,e3,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
,e33,offer,e8,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
,e33,,e32,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
outbid,e7,said,e3,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
outbid,e7,offer,e8,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
outbid,e7,,e32,from,wsj_0169.tml, WSJ891102-0021 ,"Ratners Group PLC, a fast-growing, acquisition-minded London-based jeweler, raised its price for Seattle-based specialty jeweler Weisfield's Inc. to $57.50 a share, or $62.1 million, from $50 a share, or $55 million, after another concern said it would be prepared to outbid Ratners's initial offer. "
