event1,eid1,event2,eid2,signal,annotation ,Doc name,Doc ID,sentence
purchased,e59,approved,e56,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
purchased,e59,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
approved,e56,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
purchased,e59,approved,e56,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
purchased,e59,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
approved,e56,program,e107,by,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
purchased,e59,approved,e56,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
purchased,e59,program,e107,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
approved,e56,program,e107,have,0,wsj_0520.tml,WSJ891030-0181,"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    "
said,e17,fixed,e18,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
said,e17,set,e20,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
fixed,e18,set,e20,have,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
said,e17,fixed,e18,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
said,e17,set,e20,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
fixed,e18,set,e20,set,0,wsj_0106.tml,WSJ891102-0086,"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. "
suspension,e82,meet,e6,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,recommended,e4,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
meet,e6,recommended,e4,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
meet,e6,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
meet,e6,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
recommended,e4,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
recommended,e4,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
plummeted,e1,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,meet,e6,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,recommended,e4,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,plummeted,e1,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
suspension,e82,criteria,e9,because,0,wsj_0527.tml,WSJ891030-0174,Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.
