event1,eid1,event2,eid2,signal,Doc name,Doc ID ,sentence
made,e9,dropped,e10,make,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
speak,e12,said,e15,because,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
speak,e12,speak,e13,because,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
said,e15,speak,e13,because,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
speak,e12,said,e15,because ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
speak,e12,speak,e13,because ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
said,e15,speak,e13,because ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I would like this to be, in a way, maybe even a test case, because I'm willing to speak up and to speak about the military operation in Gaza Strip, "" Livni said."
ended,e17,served,e16,as,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
ended,e17,served,e16,as ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
ended,e17,served,e16,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
go,e20,needed,e23,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
go,e20,saying,e22,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
go,e20,defended,e19,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
needed,e23,saying,e22,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
needed,e23,defended,e19,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
saying,e22,defended,e19,by,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
go,e20,needed,e23,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
go,e20,saying,e22,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
go,e20,defended,e19,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
needed,e23,saying,e22,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
needed,e23,defended,e19,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
saying,e22,defended,e19,by ,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"But Livni, who is no longer in the Israeli government, defended the former government's decision to go to war, saying that the campaign was needed to confront rocket attacks by Palestinian movement Hamas on Israeli civilians, particularly those living in southern Israel."""
made,e27,said,e30,make,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
made,e27,give,e28,make,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
said,e30,give,e28,make,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"I know that the decisions that we made were crucial to give an answer to Israeli civilians that could n't live in the south part of Israel and later or even also in different parts of Israel, "" she said."""
helped,e36,conducted,e34,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,said,e33,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,traveled,e37,have,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
